"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2020-11-26",2,2020,528,"abundance","jags_RW","all","BA",0.014,0,0.048,217,537,1378,55,0.95
"2020-11-26",3,2020,529,"abundance","jags_RW","all","BA",0.03,0,0.094,217,537,1378,55,0.95
"2020-11-26",4,2020,530,"abundance","jags_RW","all","BA",0.057,0,0.152,217,537,1378,55,0.95
"2020-11-26",5,2020,531,"abundance","jags_RW","all","BA",0.113,0,0.212,217,537,1378,55,0.95
"2020-11-26",6,2020,532,"abundance","jags_RW","all","BA",0.182,0,0.298,217,537,1378,55,0.95
"2020-11-26",7,2020,533,"abundance","jags_RW","all","BA",0.437,0,0.411,217,537,1378,55,0.95
"2020-11-26",8,2020,534,"abundance","jags_RW","all","BA",0.599,0,0.501,217,537,1378,55,0.95
"2020-11-26",9,2020,535,"abundance","jags_RW","all","BA",0.874,0,0.632,217,537,1378,55,0.95
"2020-11-26",10,2020,536,"abundance","jags_RW","all","BA",1.26,0,0.778,217,537,1378,55,0.95
"2020-11-26",11,2020,537,"abundance","jags_RW","all","BA",1.549,0,0.914,217,537,1378,55,0.95
"2020-11-26",12,2020,538,"abundance","jags_RW","all","BA",2.056,0,1.087,217,537,1378,55,0.95
"2020-11-26",1,2021,539,"abundance","jags_RW","all","BA",2.516,0,1.332,217,537,1378,55,0.95
"2020-11-26",2,2021,540,"abundance","jags_RW","all","BA",3.102,0,1.575,217,537,1378,55,0.95
"2020-11-26",3,2021,541,"abundance","jags_RW","all","BA",3.438,0,1.95,217,537,1378,55,0.95
"2020-11-26",4,2021,542,"abundance","jags_RW","all","BA",3.596,0,2.35,217,537,1378,55,0.95
"2020-11-26",5,2021,543,"abundance","jags_RW","all","BA",4.357,0,2.775,217,537,1378,55,0.95
"2020-11-26",6,2021,544,"abundance","jags_RW","all","BA",4.925,0,3.225,217,537,1378,55,0.95
"2020-11-26",7,2021,545,"abundance","jags_RW","all","BA",5.468,0,3.829,217,537,1378,55,0.95
"2020-11-26",8,2021,546,"abundance","jags_RW","all","BA",6.194,0,4.594,217,537,1378,55,0.95
"2020-11-26",9,2021,547,"abundance","jags_RW","all","BA",7.048,0,5.358,217,537,1378,55,0.95
"2020-11-26",10,2021,548,"abundance","jags_RW","all","BA",7.518,0,5.655,217,537,1378,55,0.95
"2020-11-26",11,2021,549,"abundance","jags_RW","all","BA",8.761,0,6.331,217,537,1378,55,0.95
"2020-11-26",2,2020,528,"abundance","jags_RW","all","DM",36.828,25.938,49.251,217,537,1378,55,0.95
"2020-11-26",3,2020,529,"abundance","jags_RW","all","DM",87.031,0.003,334.702,217,537,1378,55,0.95
"2020-11-26",4,2020,530,"abundance","jags_RW","all","DM",144.582,0,830.997,217,537,1378,55,0.95
"2020-11-26",5,2020,531,"abundance","jags_RW","all","DM",183.111,0.709,1176.9,217,537,1378,55,0.95
"2020-11-26",6,2020,532,"abundance","jags_RW","all","DM",211.743,0.339,1176.9,217,537,1378,55,0.95
"2020-11-26",7,2020,533,"abundance","jags_RW","all","DM",223.531,0.17,1176.9,217,537,1378,55,0.95
"2020-11-26",8,2020,534,"abundance","jags_RW","all","DM",239.313,0.064,1176.9,217,537,1378,55,0.95
"2020-11-26",9,2020,535,"abundance","jags_RW","all","DM",238.567,0.008,1176.9,217,537,1378,55,0.95
"2020-11-26",10,2020,536,"abundance","jags_RW","all","DM",244.191,0,1176.9,217,537,1378,55,0.95
"2020-11-26",11,2020,537,"abundance","jags_RW","all","DM",242.298,0,1176.9,217,537,1378,55,0.95
"2020-11-26",12,2020,538,"abundance","jags_RW","all","DM",239.792,0,1176.9,217,537,1378,55,0.95
"2020-11-26",1,2021,539,"abundance","jags_RW","all","DM",240.049,0,1176.9,217,537,1378,55,0.95
"2020-11-26",2,2021,540,"abundance","jags_RW","all","DM",241.205,0,1176.9,217,537,1378,55,0.95
"2020-11-26",3,2021,541,"abundance","jags_RW","all","DM",240.735,0,1176.9,217,537,1378,55,0.95
